Name,capacity,rgb,Price
96GB (48GBx2) DDR5 6400MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE DDR5,96,FALSE,16800
32GB (16GBx2) DDR5 6400MHz RAM (หน่วยความจำ) CORSAIR DOMINATOR TITANIUM RGB DDR5,32,TRUE,7390
32GB (16GBx2) DDR5 6400MHz RAM (หน่วยความจำ) CORSAIR DOMINATOR TITANIUM RGB DDR5,32,TRUE,7690
48GB (24GBx2) DDR5 6400MHz RAM (หน่วยความจำ) KINGSTON FURY RENEGADE DDR5,48,TRUE,9150
48GB (24GBx2) DDR5 6400MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z5,48,TRUE,8290
32GB (16GBx2) DDR5 6400MHz RAM (หน่วยความจำ) G.SKILL TRIDENT Z5,32,TRUE,5490
32GB (16GBx2) DDR5 7200MHz RAM (หน่วยความจำ) PATRIOT VIPER VENOM RGB DDR5,32,TRUE,5590
48GB (24GBx2) DDR5 7200MHz RAM (หน่วยความจำ) KINGSTON FURY RENEGADE DDR5,48,TRUE,11400
48GB (24GBx2) DDR5 7200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB DDR5,48,TRUE,9690
32GB (16GBx2) DDR5 7200MHz RAM (หน่วยความจำ) CORSAIR VENGEANCE RGB DDR5,32,TRUE,7490
48GB (24GBx2) DDR5 7200MHz RAM (หน่วยความจำ) CORSAIR DOMINATOR TITANIUM RGB DDR5,48,TRUE,11900
32GB (16GBx2) DDR5 7200MHz RAM (หน่วยความจำ) CORSAIR DOMINATOR PLATINUM RGB DDR5,32,TRUE,8990
48GB (24GBx2) DDR5 7200MHz RAM (หน่วยความจำ) CORSAIR DOMINATOR TITANIUM RGB DDR5,48,TRUE,11600
